,Metadata_InChIKey,Metadata_JCP2022,SMILES
169,ACCFMHOFAXKELV-UHFFFAOYSA-N,JCP2022_000402,COc1ccc(CCn2c(CO)cnc2Sc2ncc(C(F)(F)F)cc2Cl)cc1OC
170,ACCHIOLAGUMIGN-UHFFFAOYSA-N,JCP2022_000404,Cc1ccccc1C(O)=Nc1nn2c(-c3ccccc3)nnc2s1
171,ACCMWZWAEFYUGZ-UHFFFAOYSA-N,JCP2022_000405,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21
172,ACCMXJBCUBKSQQ-UHFFFAOYSA-N,JCP2022_000406,Cc1nc(C)c(CCNS(=O)(=O)c2cc(Cl)ccc2Cl)s1
173,ACCXTZYSBDQPKU-UHFFFAOYSA-N,JCP2022_000408,N=c1nc(O)c2oc(-c3ccc(Cl)cc3)nc2[nH]1
174,ACCYRHNPKVAFEJ-UHFFFAOYSA-N,JCP2022_000409,Cn1cncc1-c1nnc(C2CCN(C(=O)C3CC3)C2)o1
175,ACDAJNWIMSIFEV-UHFFFAOYSA-N,JCP2022_000410,COc1ccc(-n2ccnc2SCC(O)=NCc2ccc(N3CCCC3=O)cc2)cc1
176,ACDCNFLERZYPKY-UHFFFAOYSA-N,JCP2022_000412,Cc1nn(C)c(C)c1OCCc1ccc2c(c1)CCO2
177,ACDMONYKERYXRY-UHFFFAOYSA-N,JCP2022_000414,CC(O)=Nc1ccc(S(=O)(=O)NCCN2CCOCC2)cc1
178,ACDQTRIRTDRNBI-UHFFFAOYSA-N,JCP2022_000415,Cc1cccc(-c2nc3nc(=O)cc(N=C(O)c4ccccc4Cl)n3[nH]2)c1
179,ACEBWSSSSLCMFN-UHFFFAOYSA-N,JCP2022_000416,COc1cc(N2CCc3onc(-c4ccc(C(F)(F)F)cc4)c3C2)ncn1
180,ACECEHLHRDAIDC-UHFFFAOYSA-N,JCP2022_000417,CC(=O)CSc1nnc2cc(C)c3cc(C)cc(C)c3n12
181,ACEDALOXSQAPSG-UHFFFAOYSA-N,JCP2022_000419,Clc1ccccc1-c1nnc(SCc2nc3ccccc3o2)n1C1CCCC1
182,ACELPUUJTYVYLP-UHFFFAOYSA-N,JCP2022_000421,CN(C(=O)N1CC2(C)CC1CC(C)(C)C2)c1ccccc1
183,ACENETJHWISCNP-UHFFFAOYSA-N,JCP2022_000422,Cc1ccccc1CNS(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCC(=O)N1CCC(C)CC1
184,ACESOXOYRKFOMA-UHFFFAOYSA-N,JCP2022_000423,COC12CCC(Oc3ccccn3)CC1N(C)CC2
185,ACETWTLARMWFKV-UHFFFAOYSA-N,JCP2022_000424,COc1ccccc1N=C(O)C1CCN(C)C1C1CCCN(Cc2ccc(Cl)cc2)C1
186,ACEWLPOYLGNNHV-UHFFFAOYSA-N,JCP2022_000425,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1
187,ACFFBAHLBLUXAM-UHFFFAOYSA-N,JCP2022_000426,COc1cccc(NS(=O)(=O)c2ccc3c(c2)CCN3C(=O)CCC(=O)N2CCCCCC2)c1
188,ACFSNTGFRBWARG-UHFFFAOYSA-N,JCP2022_000428,O=[N+]([O-])c1ccc(SCCOc2nonc2-c2ccccc2)cc1N1CCCCC1
189,ACGDKVXYNVEAGU-UHFFFAOYSA-N,JCP2022_000432,N=C(N)NCCN1CCCCCCC1
190,ACGHZWWINYTNLM-UHFFFAOYSA-N,JCP2022_000434,CC(C)N(Cc1nnc(-c2ccc(Cl)cc2)o1)C(=O)c1cc(F)cc(F)c1
191,ACGIUHPPXRDURA-UHFFFAOYSA-N,JCP2022_000435,Cc1nn(CCN=C(O)c2cc(C3CC3)nc3onc(C)c23)c(C)c1Cl
192,ACGPONQSRUGYMT-UHFFFAOYSA-N,JCP2022_000436,Cc1ccc2nc(NCCN=C(O)c3ccccc3)c(C#N)cc2c1
193,ACGSTJCGLALSRX-UHFFFAOYSA-N,JCP2022_000437,CN(C)Cc1ccnc(C2CCCN2C(=O)Cc2cccnc2)n1
194,ACGWBJKSUZHIHU-UHFFFAOYSA-N,JCP2022_000439,CN(Cc1nc2ccccc2n1C)S(C)(=O)=O
195,ACGZRWICICOUPO-UHFFFAOYSA-N,JCP2022_000440,O=C(c1cccc(C(F)(F)F)c1)N1CCN(c2cc(O)nnc2-c2ccccc2)CC1
196,ACHKQDLAXKJNGC-UHFFFAOYSA-N,JCP2022_000443,O=C(Cc1ccc(F)cc1)N1CCC(c2noc(-c3cnccn3)n2)CC1
197,ACHRLWAPMQYVFH-UHFFFAOYSA-N,JCP2022_000445,Cc1cc(Nc2nc(C)cc(C)n2)cc(C2CCCN(C(=O)CN3CCOCC3)C2)n1
198,ACHSPVZSCMSWRD-UHFFFAOYSA-N,JCP2022_000446,CC1CCc2sc(C(=O)N(CC#N)Cc3ccccc3)cc2C1
199,ACIJLVMBHSTHLJ-UHFFFAOYSA-N,JCP2022_000451,O=C(Cn1nc(Cl)nc1Cl)c1cc2ccccc2oc1=O
