,Metadata_InChIKey,Metadata_JCP2022,SMILES
38,AALLCALQGXXWNA-UHFFFAOYSA-N,JCP2022_000098,CC12CC(c3ccoc3)OC(=O)C1CCC1(C)C2C2C=CC1(O)C(=O)O2
39,AAMBUGGVCSREOV-UHFFFAOYSA-N,JCP2022_000100,Cc1n[nH]c(C)c1SCC(=O)Nc1ccc(Cl)cc1
40,AAMDFKSSOFYVDG-UHFFFAOYSA-N,JCP2022_000101,CCN(C)c1ccc(C2N=C(O)c3ccccc3N2C)cn1
41,AAMIRUAPNCAFAU-UHFFFAOYSA-N,JCP2022_000102,COc1cc(OC)c(CN2CCC(Cc3ccccc3)CC2)cc1Br
42,AAMPCXGJPORDEJ-UHFFFAOYSA-N,JCP2022_000105,Cc1nc(Cc2nc(-c3cc(F)ccc3F)cs2)cs1
43,AAMVIJWKUPKMQE-UHFFFAOYSA-N,JCP2022_000106,CN1c2ccccc2N(C2CCN(Cc3cccnc3)CC2)S1(=O)=O
44,AAMZNBGXGNUMCJ-UHFFFAOYSA-N,JCP2022_000111,CC(NC(O)=NCc1ccc(OC(F)F)cc1)c1nnc2ccccn12
45,AAOASDWEYNETMY-UHFFFAOYSA-N,JCP2022_000119,OC(COc1ccc2ccccc2c1Cl)CN1CCOCC1
46,AAORSHWIUXVEAI-UHFFFAOYSA-N,JCP2022_000122,COc1cc(N=C(O)CCCc2nc3cccnc3n2Cc2ccccc2)cc(OC)c1
47,AAPBLOZFHPIVEF-UHFFFAOYSA-N,JCP2022_000124,CCc1c(C)nc(C)[nH]c1=NCC(O)CN(C)C
48,AAPNUGJXLNEYFD-UHFFFAOYSA-N,JCP2022_000128,Cc1[nH]nc2c1C(c1c[nH]c3ccccc13)C(C#N)C(=N)O2
49,AAQJBFBPVVQLAQ-UHFFFAOYSA-N,JCP2022_000133,N=C(O)c1nc(-c2ccco2)nc2c1nc(O)n2CCc1ccccc1
50,AAQJQBSEKHHNME-UHFFFAOYSA-N,JCP2022_000134,CCCCC(O)=Nc1cc2nn(-c3ccccc3)nc2cc1C
51,AAQUZLDNXFPNNU-UHFFFAOYSA-N,JCP2022_000137,CCOC(O)=Nc1ccc(OC)cc1OC
52,AAQWECHAUNCROD-UHFFFAOYSA-N,JCP2022_000138,COc1ccc(NC(O)=NCc2cccc(Oc3ccccn3)c2)c(OC)c1
53,AAQZGOOBPBBYOB-UHFFFAOYSA-N,JCP2022_000141,COCCN=c1[nH]c(-c2cc3ccccc3o2)cs1
54,AARNCVJDLUZFMV-UHFFFAOYSA-N,JCP2022_000143,CN1CCN(N=C(O)c2ccccc2Nc2ccc(SC(F)F)cc2)CC1
55,AASDSXXTHUSCMK-UHFFFAOYSA-N,JCP2022_000147,CCSc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCOCC1
56,AASDVNHNHORIQJ-UHFFFAOYSA-N,JCP2022_000148,COc1cccc(N=C(O)CN2CCCN(Cc3ccccc3Cl)S2(=O)=O)c1
57,AASMWGHVQUQKRK-UHFFFAOYSA-N,JCP2022_000149,CCn1ccc(C(=O)N=c2[nH]nc(C3CCCCC3)o2)n1
58,AASNOEHLZUBQJB-UHFFFAOYSA-N,JCP2022_000150,Cc1ccc(NC(=O)N2CCCC2c2nc(-c3ccc(F)cc3)n[nH]2)cc1C
59,AASNUTUXJRGCHC-UHFFFAOYSA-N,JCP2022_000151,CN1Cc2ccccc2CC1Cn1cnc(-c2ccccc2)c1-c1ncc[nH]1
60,AASNUXGJSVJCNM-UHFFFAOYSA-N,JCP2022_000152,O=C(c1ccccc1)C1CCN(C(=O)CN=C(O)c2ccccc2)CC1
61,AATJKJCNJBQHHV-UHFFFAOYSA-N,JCP2022_000154,CCOc1cc(C(O)=NC)cc(Br)c1OCc1ccccc1
62,AATUMSKWUYHWOG-UHFFFAOYSA-N,JCP2022_000156,COc1cc2c(cc1OC)CN(CC(O)=Nc1cccc(-c3nc[nH]n3)c1)CC2
63,AATYKMIJQZSRSW-UHFFFAOYSA-N,JCP2022_000157,O=C(NCc1ccc(-c2ccoc2)cc1)c1cc(Br)cs1
64,AAUMWNSHXIIZSU-UHFFFAOYSA-N,JCP2022_000159,CCNC(C(=O)c1c[nH]c2c(CC)cccc12)c1ccccc1
65,AAUPYWBOQSFXAY-UHFFFAOYSA-N,JCP2022_000161,COc1ccc(Cl)cc1S(=O)(=O)NCCN1Cc2ccccc2OCC1=O
66,AAVHUFRVFPONJQ-UHFFFAOYSA-N,JCP2022_000166,OC(=NC1CCCC1)c1cn2cc(-c3cccc(F)c3)ccc2n1
67,AAVKYLHYVMCLGA-UHFFFAOYSA-N,JCP2022_000167,Cc1cc(C(=O)NC(CCN2CCOCC2)c2ccccc2)c2c(C)nn(C)c2n1
68,AAVTVGPMIUAKNN-UHFFFAOYSA-N,JCP2022_000170,CCc1cc2c(NCc3ccccc3)ncnc2s1
69,AAVZNPQGTBAORT-UHFFFAOYSA-N,JCP2022_000172,Cc1nonc1CNC(C)Cn1nc(C)c(Cl)c1C
70,AAWCSCAVVMSXDG-UHFFFAOYSA-N,JCP2022_000173,CN(Cc1cnn(C)c1)Cc1cn(C)nc1-c1ccc(Oc2ccccc2)cc1
71,AAWDWUGAAMCTIP-UHFFFAOYSA-N,JCP2022_000175,CN=c1[nH]c(C2CCCCN2C(=O)Cc2c(C)noc2C)nc2c1CN(C(C)=O)CC2
72,AAWFMKSXDZXGRE-UHFFFAOYSA-N,JCP2022_000176,CCc1ccc(NCCC(=O)c2ccc(C)o2)cc1
73,AAWISVHBBZUSAK-UHFFFAOYSA-N,JCP2022_000178,Cc1ccc(N=C2SC(=Cc3cccc(OCC(=O)O)c3)C(=O)N2C)cc1C
74,AAWZDTNXLSGCEK-UHFFFAOYSA-N,JCP2022_000181,O=C(O)C1(O)CC(O)C(O)C(O)C1
75,AAXCBEJOJWCJEE-UHFFFAOYSA-N,JCP2022_000182,CC(=O)c1ccc(N2CCN(c3ncnc4c3nc3n4CCCC3)CC2)cc1
76,AAXJMUFDZSTZSG-UHFFFAOYSA-N,JCP2022_000184,Clc1ccc(-c2nn3c(C4COc5ccccc5O4)nnc3s2)cc1
77,AAXKWRZLAIGHCB-UHFFFAOYSA-N,JCP2022_000186,COCCN=C(O)C1(C)CCCN(C(=O)c2cccc(OC(F)(F)F)c2)C1
78,AAXMQQXWRPGRCS-UHFFFAOYSA-N,JCP2022_000188,COc1ccc(-c2cc(C(=O)N=c3cc(C)n(Cc4ccc(Cl)cc4)[nH]3)no2)cc1OC
79,AAXNIKSJDVPDSP-UHFFFAOYSA-N,JCP2022_000189,CN(Cc1ccccn1)C(=O)c1cccc(-c2cccc(CN3CCCC3)c2)c1
80,AAYAKVAETLSOON-UHFFFAOYSA-N,JCP2022_000191,O=S(=O)(Nc1ncn(Cc2ccc(Cl)c(Cl)c2)n1)c1ccc(F)cc1
81,AAYPHESZACLVBK-UHFFFAOYSA-N,JCP2022_000197,OC(=Nc1cccc(-c2nc[nH]n2)c1)C(c1ccc(Cl)cc1)N1CCOCC1
82,AAYQJYJDHGBHNH-UHFFFAOYSA-N,JCP2022_000198,Cc1cc(C)c2cc(CN(CCN3CCOCC3)C(=O)Nc3ccc(F)cc3)c(O)nc2c1
83,AAYRNSHATNNIKK-UHFFFAOYSA-N,JCP2022_000199,CCn1c(CN(c2ccccc2)S(C)(=O)=O)nnc1SCC(O)=NC1CC1
84,AAZGEBQRRAZIBF-UHFFFAOYSA-N,JCP2022_000202,OC1=Nc2cc(-c3csc(-c4ccccc4)n3)ccc2OC1
85,AAZOYMJOONTVQD-UHFFFAOYSA-N,JCP2022_000203,COc1cc(OC)c(N=C(O)CSc2c(C)nn(-c3ccccc3)c2C)cc1Cl
86,AAZQEOOEUDRDEZ-UHFFFAOYSA-N,JCP2022_000204,CN(c1ccc(F)cc1)S(=O)(=O)c1csc(C(=O)NC(C)(C)CO)c1
87,AAZYJKNISGEWEV-UHFFFAOYSA-N,JCP2022_000205,Clc1nccc(-c2ccccc2)n1
88,ABACJPTUMAVJIP-UHFFFAOYSA-N,JCP2022_000206,COC(=O)C(C)=NC(=O)CC(C)c1ccc2ccccc2c1
89,ABACVOXFUHDKNZ-UHFFFAOYSA-N,JCP2022_000207,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C
90,ABAOQGNJQBALMY-UHFFFAOYSA-N,JCP2022_000209,N=C(O)C1Cc2c3c(oc(=O)c2CC3)O1
91,ABAVZRXOOZOKCC-UHFFFAOYSA-N,JCP2022_000212,CCN1CCN(c2cc(C)nc3nc(Cc4ccc(Cl)cc4)nn23)CC1
92,ABAXSTCUKUMKCS-UHFFFAOYSA-N,JCP2022_000213,O=C(O)c1ccc(CN(Cc2cccnc2)S(=O)(=O)c2ccc(Cl)cc2)cc1
